,GWP100 const,GWP100 BAU,ERF const,ERF BAU,GWP100 const 2,GWP100 BAU 2,ERF const 2,ERF BAU 2,GWP100 const 3,GWP100 BAU 3,ERF const 3,ERF BAU 3
2059,-0.5124277791034185,-1.8381278448726077,-1.0153815713826602,-3.3635723272256817,-0.47109848558732836,-1.4265052483863345,-0.9631519993063812,-2.898098017792028,-0.04132929351609015,-0.41162259648627325,-0.038968050363799765,-0.48540122888877124
2060,-0.5140949738094133,-1.8619421194509247,-0.9769004974925558,-3.334118583783598,-0.47339643322755465,-1.4512692223607448,-0.9253164685977654,-2.8721765597974014,-0.04069854058185861,-0.4106728970901798,-0.038607089496001404,-0.48306708055238134
2061,-0.5157586812654645,-1.8863010456922606,-0.941297574882226,-3.307623165501083,-0.4758135884698097,-1.4763113730604993,-0.8904889299085403,-2.8491950477729104,-0.039945092795654814,-0.40998967263176134,-0.038106343443659166,-0.480755631404362
2062,-0.5174098101739989,-1.9110715147100517,-0.9089759507149031,-3.285550207256722,-0.47833674281550265,-1.5014948581320477,-0.8590573575171095,-2.830402937899587,-0.039073067358496284,-0.4095766565780039,-0.03748394311288562,-0.47870000504801385
2063,-0.5190529171727208,-1.9363194269158153,-0.8796679155258407,-3.2671764158996455,-0.4809723464737748,-1.5268878118088702,-0.8307636803658628,-2.8151116247357493,-0.03808057069894607,-0.40943161510694503,-0.03672987086033685,-0.47686685040964094
2064,-0.52068800226163,-1.9620447823095524,-0.8531287747996992,-3.251898492456819,-0.48372039944462597,-1.5524902340909676,-0.8053704310359712,-2.8027395685061913,-0.03696760281700406,-0.4095545482185846,-0.03583821218408132,-0.4752362018220981
2065,-0.522319512251497,-1.9883200252436353,-0.8290911105869395,-3.239249772681173,-0.4865888932998419,-1.578373130544528,-0.782622063856764,-2.792884953964139,-0.0357306189516551,-0.40994689469910717,-0.03479760330515408,-0.4737473964039808
2066,-0.5240039662525782,-2.015022669697088,-0.807439903350179,-3.229233260711082,-0.4896246977103073,-1.6045700495799198,-0.7624078984593389,-2.7855459945714856,-0.034379268542270816,-0.4104526201171685,-0.03360535016326055,-0.47241322111537476
2067,-0.5258109101963918,-2.0422448313078485,-0.7879458342987807,-3.221067023090238,-0.49289769912714354,-1.6313254523271266,-0.7445096031665513,-2.7801047182048264,-0.03291321106924823,-0.41091937898072217,-0.03224748072555,-0.4710586377873878
2068,-0.5277403440829377,-2.069986510075916,-0.7703476868973618,-3.2135835156458965,-0.49640789755035025,-1.6586393387861476,-0.728686022355879,-2.775729779933744,-0.03133244653258743,-0.41134717128976805,-0.03070172685539627,-0.4693321841534396
2069,-0.5297980578754904,-2.0983258475524447,-0.7549273146114557,-3.207863626131248,-0.5001658856343391,-1.6865888387571837,-0.7152076748111786,-2.7734604377200878,-0.029632172241151278,-0.41173700879526104,-0.028980989777537023,-0.46728260561516527
2070,-0.5319728072363852,-2.127107983969803,-0.7418038033112418,-3.2047017441038115,-0.504151127925099,-1.7150212227321948,-0.7041825319954375,-2.773976496793679,-0.027821679311286204,-0.4120867612376081,-0.027097996530615898,-0.465034476303751
2071,-0.5342700465400125,-2.1564096375444692,-0.7311284465033027,-3.2048800909365776,-0.5083735672222296,-1.7440120904190217,-0.6957412396080711,-2.777890041489631,-0.02589647931778292,-0.41239754712544757,-0.025074171217524654,-0.4627609078239705
2072,-0.536689775786372,-2.1862308082764437,-0.7227560826817561,-3.208167047360113,-0.5128332035257307,-1.773561441817664,-0.6897336965153551,-2.7849438039795724,-0.023856572260641334,-0.4126693664587796,-0.02291561814698693,-0.46048678055176745
2073,-0.5392391282136969,-2.216655334955135,-0.7165854110880643,-3.214616223675199,-0.5175432306896861,-1.8037525312897977,-0.6860598922490629,-2.795192331669806,-0.021695897524010833,-0.41290280366533727,-0.020621581447738062,-0.45821444096488095
2074,-0.5419041729344054,-2.2475169633364,-0.7122433300079031,-3.2231762745267245,-0.5224779108607404,-1.8344203802044297,-0.6843629053348397,-2.8077376327547197,-0.019426262073665067,-0.41309658313197034,-0.018176135545863822,-0.4557884241458143
2075,-0.5446917075978466,-2.278898108874973,-0.7095323715579358,-3.2333040230599606,-0.5276497880381654,-1.8656467128308774,-0.6844422497767286,-2.822047440333247,-0.017041919559681096,-0.41325139604409555,-0.015582356874520937,-0.4531890642228693
2076,-0.547335337392276,-2.3099010336404198,-0.7083144009024164,-3.244728093427058,-0.5328154385989115,-1.896514245151984,-0.6861537584642261,-2.8378263781121675,-0.014519898793364615,-0.41338678848843585,-0.012847608365967496,-0.4504360110778783
2077,-0.5495742226243586,-2.3397076907675727,-0.7076668726717661,-3.254975786700137,-0.5377445644903801,-1.926185012760943,-0.6885812714535973,-2.852533427641285,-0.011829658133978552,-0.41352267800662945,-0.009968388945607956,-0.4475560426769895
2078,-0.5513961289485635,-2.368155202348632,-0.7058525000977672,-3.259419942298451,-0.5424102305984099,-1.9544968803156277,-0.6899996198285685,-2.861365230212587,-0.008985898350153603,-0.4136583220330042,-0.006930741321877756,-0.4446291482788566
2079,-0.5528077355920136,-2.3953267552261335,-0.7017366358618149,-3.2547933283958352,-0.5468262464667116,-1.9815326635478177,-0.6892867276124849,-2.8610966657670236,-0.005981489125301944,-0.41379409167831566,-0.0037148481596544236,-0.4415463452044878
